state,date,sex,age,ethnicity,population
Johor,1/1/1970,both,overall,overall,1325.6
Johor,1/1/1971,both,overall,overall,1355.4
Johor,1/1/1972,both,overall,overall,1385.3
Johor,1/1/1973,both,overall,overall,1414.5
Johor,1/1/1974,both,overall,overall,1444.4
Johor,1/1/1975,both,overall,overall,1477
Johor,1/1/1976,both,overall,overall,1508.4
Johor,1/1/1977,both,overall,overall,1541.9
Johor,1/1/1978,both,overall,overall,1573.4
Johor,1/1/1979,both,overall,overall,1606.4
Johor,1/1/1980,both,overall,overall,1646.2
Johor,1/1/1981,both,overall,overall,1689.3
Johor,1/1/1982,both,overall,overall,1734.6
Johor,1/1/1983,both,overall,overall,1780.2
Johor,1/1/1984,both,overall,overall,1825.8
Johor,1/1/1985,both,overall,overall,1875.5
Johor,1/1/1986,both,overall,overall,1926.5
Johor,1/1/1987,both,overall,overall,1977.9
Johor,1/1/1988,both,overall,overall,2031
Johor,1/1/1989,both,overall,overall,2085.5
Johor,1/1/1990,both,overall,overall,2139.6
Johor,1/1/1991,both,overall,overall,2188.1
Johor,1/1/1992,both,overall,overall,2249.1
Johor,1/1/1993,both,overall,overall,2313.4
Johor,1/1/1994,both,overall,overall,2378.1
Johor,1/1/1995,both,overall,overall,2441.4
Johor,1/1/1996,both,overall,overall,2503.9
Johor,1/1/1997,both,overall,overall,2567.5
Johor,1/1/1998,both,overall,overall,2631.7
Johor,1/1/1999,both,overall,overall,2699.4
Johor,1/1/2000,both,overall,overall,2762.5
Johor,1/1/2001,both,overall,overall,2829.9
Johor,1/1/2002,both,overall,overall,2893.6
Johor,1/1/2003,both,overall,overall,2954
Johor,1/1/2004,both,overall,overall,3014.6
Johor,1/1/2005,both,overall,overall,3074.4
Johor,1/1/2006,both,overall,overall,3134.4
Johor,1/1/2007,both,overall,overall,3193.5
Johor,1/1/2008,both,overall,overall,3252.3
Johor,1/1/2009,both,overall,overall,3309.4
Johor,1/1/2010,both,overall,overall,3362.9
Johor,1/1/2011,both,overall,overall,3410.5
Johor,1/1/2012,both,overall,overall,3450.4
Johor,1/1/2013,both,overall,overall,3474.4
Johor,1/1/2014,both,overall,overall,3559.8
Johor,1/1/2015,both,overall,overall,3610.3
Johor,1/1/2016,both,overall,overall,3651.8
Johor,1/1/2017,both,overall,overall,3697
Johor,1/1/2018,both,overall,overall,3749.4
Johor,1/1/2019,both,overall,overall,3761.2
Johor,1/1/2020,both,overall,overall,4009.7
Johor,1/1/2021,both,overall,overall,4020
Johor,1/1/2022,both,overall,overall,4028.3
Johor,1/1/2023,both,overall,overall,4107.2
